,TransactionID,Machine,Day,Medication,Type,AmtRemaining
125,UP11WHTYEWV8,1,2020-04-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
126,7DREHI49G50P,1,2020-04-16,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
127,P7J6NFOB4AJU,1,2020-04-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,18
128,6U1IKS1KK751,1,2020-04-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
129,HFLHGI2CGMZ8,1,2020-04-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
130,60VYS9LENCKG,1,2020-04-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
131,1ZTF53ZATIHV,1,2020-04-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
132,YXAWTIOSOZ0Z,1,2020-04-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
133,9HRSOJKE3IPJ,1,2020-04-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
134,W2N1XXSHTU2Z,1,2020-04-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
135,8NZABNI1NVOL,1,2020-04-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
136,ORMY8HNKI2TK,1,2020-04-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
137,MVW27BV1TO3O,1,2020-04-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
138,LYNN8HNZ1BAV,1,2020-04-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
139,EY3R2I8QWCZN,1,2020-04-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
140,D9XOXAGT153T,1,2020-04-28,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
141,ZTEGUN6P5QYD,1,2020-04-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
142,94TB9RM8QYCW,1,2020-04-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
143,JZOJ2K1RKWZO,1,2020-04-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
144,0ZPAUAZTECGD,1,2020-05-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
145,48U8SPP4HMXA,1,2020-05-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
146,CKGRMKBFE3O3,1,2020-05-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
147,VSH4OOZ8Q81N,1,2020-05-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
148,6K1VR669Z3TB,1,2020-05-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
149,06ZND5EJ60N1,1,2020-05-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
150,SYG8OVMISWUY,1,2020-05-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
151,2XRL4W93IHNO,1,2020-05-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
152,LK5JVKR53SND,1,2020-05-08,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
153,7GQLGHRNNAS4,1,2020-05-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
154,SKSA7X8UHAZU,1,2020-05-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
155,4IYQDNT7FIJP,1,2020-05-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
156,XO24LQ38R9Z1,1,2020-05-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
157,53HIOGIWETVT,1,2020-05-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
158,9221WUBLSUJ7,1,2020-05-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
159,I7941MMJSUZ0,1,2020-05-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
160,C9IYEADE5OQB,1,2020-05-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
161,LHDRLQZ7L3XV,1,2020-05-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
162,DMXJCUUFKHJY,1,2020-05-16,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
163,BQNKM3QBSQBI,1,2020-05-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
164,K7P13VF9MQ5N,1,2020-05-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
165,A72HEO3QY4C8,1,2020-05-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
166,31LGZEKBNMLT,1,2020-05-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
167,499XR4X7ZV71,1,2020-05-20,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
168,GTSWKUSQLNL8,1,2020-05-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
169,TQZCZJB34Z4Q,1,2020-05-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
170,4QFXV6OVNSXQ,1,2020-05-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
171,0B2CKOPIMQUS,1,2020-05-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
172,3JTL3CP5CS2S,1,2020-05-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
173,B2YWSJ02J6AJ,1,2020-05-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
174,EVC2ADIQU1F7,1,2020-05-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
175,X44BQXCOKJG7,1,2020-05-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
176,ZOWZOUZ5NO0H,1,2020-05-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
177,Y0BWET5OLA0G,1,2020-05-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
178,51DI2U3BGWWB,1,2020-05-29,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
179,N6M6CZ676FW9,1,2020-05-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,18
180,XDAXQIUAWPYO,1,2020-05-31,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
181,DX61PP4YU9GA,1,2020-06-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
182,1A1NOQRU9JXH,1,2020-06-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
183,5VBP484CYO2Z,1,2020-06-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
184,ZDGQCCUVF8T8,1,2020-06-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
185,896RB99DVWEB,1,2020-06-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
186,JI8U2S5UH0CX,1,2020-06-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
187,YTLZ9SAM7B49,1,2020-06-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
188,YD658Q59I6VT,1,2020-06-07,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
189,4WYUOLII927W,1,2020-06-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,18
190,AFLE4QELBUWS,1,2020-06-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
191,K7SM2DQ17S6T,1,2020-06-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
192,9LD94DOP8A1T,1,2020-06-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
193,E41RNMVIBOXO,1,2020-06-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
194,MKP3DYU5SDQT,1,2020-06-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
195,IMZYBI9DU1MB,1,2020-06-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
196,WRAK7KHAB766,1,2020-06-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
197,H0SETDBR0DVQ,1,2020-06-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
198,VRZKKCKZZ001,1,2020-06-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
199,D9Q0OSPS8RR6,1,2020-06-16,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
200,WHZ3B1GE2FP5,1,2020-06-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,18
201,PFWWY486SZTF,1,2020-06-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
202,AJMM2L0L1VR6,1,2020-06-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
203,F77EULTYTFWO,1,2020-06-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
204,DU4G550FMQ79,1,2020-06-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
205,2S0YJ2O4K3NJ,1,2020-06-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
206,8FL4Q9IY8SHV,1,2020-06-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
207,FUG07RY711G8,1,2020-06-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
208,EV1F8PJ7Y4WJ,1,2020-06-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
209,QSIB9WCA28U3,1,2020-06-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
210,AG4UAT99GFPR,1,2020-06-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
211,HE1I9ZINOE0S,1,2020-06-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
212,QVCNM4L8IOF9,1,2020-06-27,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
213,CTYNKGCE9AGL,1,2020-06-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
214,RQEW6ZXUOIEK,1,2020-06-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
215,QQ1QE85E51UN,1,2020-06-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
216,5H8QR43P19MR,1,2020-06-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
217,6EYGFHNUG1NW,1,2020-07-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
218,ZZCH5FS4UVGI,1,2020-07-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
219,NF4EEJJL4KUT,1,2020-07-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
220,57VAGTT8ZABJ,1,2020-07-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
221,FIPB5J8158AN,1,2020-07-04,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
222,IGMNX4721A76,1,2020-07-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
223,F55O3QKLL6UD,1,2020-07-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
224,CK2D14UBK2J1,1,2020-07-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
225,BX4H5AU3OG4C,1,2020-07-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
226,0N3CT568ESY7,1,2020-07-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
227,OP1534GEXD54,1,2020-07-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
228,YHGAEPWTZYIC,1,2020-07-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
229,CA95TENA4G84,1,2020-07-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
230,HW2SPXEBK1PQ,1,2020-07-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
231,3C36YICO85Z4,1,2020-07-12,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
232,93TSSVG4GX72,1,2020-07-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
233,EWSFBHGEKHWN,1,2020-07-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
234,N94WSJ2WZMGJ,1,2020-07-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
235,CVNAJW0EMOHG,1,2020-07-16,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
236,B7XYKM3FF48F,1,2020-07-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
237,ORDA2NSD4L46,1,2020-07-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
238,8B52EJJBARH0,1,2020-07-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
239,II7S189TP0UZ,1,2020-07-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
240,Q96CKKGH5RHS,1,2020-07-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
241,LQQ1M7AJ03M4,1,2020-07-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
242,KWAA59U9Z9UM,1,2020-07-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
243,1A4ZDQ5AL1A0,1,2020-07-22,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
244,0JTI86RD512F,1,2020-07-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
245,LQD88DA6GAIL,1,2020-07-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
246,KG5NBE29WWT9,1,2020-07-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
247,21B2ZQDN5VB1,1,2020-07-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
248,WTZ9SFJ10OV6,1,2020-07-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
249,LIEAVODAL80B,1,2020-07-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
250,7MFFDUFY7P9I,1,2020-07-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
