TransactionID,Machine,Day,Medication,Type,AmtRemaining
0ZQC1Z0FANJ5,1,2020-03-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
2ECU5IZ96Y7I,1,2020-03-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
UPWCOC9SZ55Z,1,2020-03-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
X1A2W7GAQYJZ,1,2020-03-29,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
EF2VNF3M1ZWV,1,2020-04-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
50M0CEA2Z09U,1,2020-04-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
LSYMIH3C4VJV,1,2020-04-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
F9VVO9U3UBC1,1,2020-04-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
ACYWB11PIQOX,1,2020-04-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
QX25VJ0MDSN2,1,2020-04-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
99PRL1KSPXER,1,2020-04-15,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
XRH4CQC8OLD7,1,2020-04-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
F0Q6ENFYXSGW,1,2020-04-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
YHZM8XX6J4TQ,1,2020-04-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
3WA384VJR4Q6,1,2020-04-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
OCICJXORTK85,1,2020-04-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
V0NWC759JT6L,1,2020-04-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
18ALNDXGZ3T8,1,2020-05-02,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
OJ46X7J28Q0E,1,2020-05-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
6EELK8L55ZZJ,1,2020-05-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
QTDP05IJIRQ3,1,2020-05-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
E7HK573QJYO5,1,2020-05-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
H8XQ0O1YS38J,1,2020-05-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
FKJRYA2IA789,1,2020-05-16,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
C657T0RQLSKB,1,2020-05-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
22DJZMDRK3O8,1,2020-05-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
81ZR4RR7XC79,1,2020-05-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
55C5489V5VSC,1,2020-05-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
9DYUKFEUIUDH,1,2020-05-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
7FTCLBPXZRKF,1,2020-05-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
THBX0APEVL01,1,2020-06-02,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
56VB7X973KBM,1,2020-06-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
6ST5KJOA9824,1,2020-06-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
NWFPFUSUD145,1,2020-06-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
9BCCN6KXZK10,1,2020-06-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
W8DR95Z8P0QA,1,2020-06-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
8RXUM26N180D,1,2020-06-16,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
HJ2F2VJMN7EJ,1,2020-06-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
FHKU6LOVOIHN,1,2020-06-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
64SD567UXB1G,1,2020-06-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
SAC3K8EV07OU,1,2020-06-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
HZB0R0OT8RVP,1,2020-06-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
DE4C38FXEDO7,1,2020-06-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
N58417NXYDD9,1,2020-07-03,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
GCHTXNENSWA8,1,2020-07-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
QU3KHZP53NU3,1,2020-07-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
QGPGA3MCJ51C,1,2020-07-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
6OG2KRL26TS0,1,2020-07-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
B12JKVKI6FX5,1,2020-07-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
2EOD606TLDVC,1,2020-07-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
4CQNZFVGR8EK,1,2020-07-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
8LZA09AZ2ILT,1,2020-07-22,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
Y5W93Y1X451M,1,2020-07-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
JNE4FXYLML8B,1,2020-07-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
HN9PAOKL37L3,1,2020-07-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
KJFIWEE4KQIJ,1,2020-07-31,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
M23X70UX8QO6,1,2020-08-03,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
D8KQMS5HVNYC,1,2020-08-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
IYMV6KD18LZ0,1,2020-08-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
JMPK8GA2U49M,1,2020-08-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
O2XDUUCMVTWJ,1,2020-08-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
2Z8RCF0N72MK,1,2020-08-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
7JD0ZKI8C06O,1,2020-08-17,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
4D8XF8WBPM17,1,2020-08-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
OX3IYQQLWLDU,1,2020-08-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
7ZBI4N7IXX9L,1,2020-08-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
IC499L54DZS4,1,2020-08-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
D78Z46G3IGR6,1,2020-08-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
IFCQWH2795TD,1,2020-08-31,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
59IFBJ7YOH0J,1,2020-09-03,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
CMWSYK8X6MDN,1,2020-09-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
ZY061NK8LY06,1,2020-09-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
OK02OPC4IWD3,1,2020-09-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
GRWIWJ3A5TYI,1,2020-09-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
HL9X3QV7FPG4,1,2020-09-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
0ZNVKKULRUG0,1,2020-09-17,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
1TER8RPWR813,1,2020-09-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
ATDDPIG6ZKCA,1,2020-09-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
3R8E3WDYN8NC,1,2020-09-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
RN4PCLQ7WJE1,1,2020-09-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
NQDICD15NO10,1,2020-09-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
RZ9L9JUP50RE,1,2020-10-01,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
6C657VTF6PTH,1,2020-10-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
QUA54PMFRIOP,1,2020-10-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
GZ517PF9G0MK,1,2020-10-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
4B9Z1XMFVRB0,1,2020-10-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
12MTFRWTJ6C8,1,2020-10-13,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
NOPDHQS8VDPO,1,2020-10-16,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
24SE3NI6E4XY,1,2020-10-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
QPT8Y659CPLJ,1,2020-10-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
VZMW248535UU,1,2020-10-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
SB6HCC0ETQFR,1,2020-10-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
MCS1X8P8K83D,1,2020-10-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
ZPZ7Z9718J0O,1,2020-10-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
9MBLP6M01VRV,1,2020-11-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
UXIRS65NQTOA,1,2020-11-04,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
H956GZZB55W7,1,2020-11-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
0ZXN1NKK0KV2,1,2020-11-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
NRS0B4B6P4QH,1,2020-11-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
CW7TYK3O0CEB,1,2020-11-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
4EROP6BEX0PD,1,2020-11-16,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
7KH7854OZMVE,1,2020-11-18,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
JOVRHROFEEBA,1,2020-11-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
YC1HCS3US4LN,1,2020-11-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
W678XN6SPF6I,1,2020-11-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
Q6HVK14ELF5W,1,2020-11-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
6YPYG289WIPT,1,2020-11-30,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
3U38Z2G4X7Q3,1,2020-12-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
FLRD1UP403GL,1,2020-12-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
V9RV4ZS4TPGO,1,2020-12-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
3QZBLY9M0IBY,1,2020-12-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
3OMBRJ2LRNLB,1,2020-12-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
EVUCNKIE3GTA,1,2020-12-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
SY9D4BUZPATZ,1,2020-12-17,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
I9R6LE7F1J3Z,1,2020-12-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
EUPMKOO34FQ5,1,2020-12-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
8QEE0MJ60OK8,1,2020-12-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
BCAOPH2WAJIJ,1,2020-12-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
4RCWFP8V7CUP,1,2020-12-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
5B3I0NLEGASC,1,2020-12-31,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
YT4HJGEA8WA4,1,2020-01-03,AZITHromycin 250mg TAB,Withdrawal,9
I4SM4RUTEKPG,1,2020-01-05,AZITHromycin 250mg TAB,Withdrawal,8
HLKDZMPIQHUM,1,2020-01-07,AZITHromycin 250mg TAB,Withdrawal,5
V2BOILATZMRZ,1,2020-01-08,AZITHromycin 250mg TAB,Withdrawal,3
SBT70XKNKMIX,1,2020-01-10,AZITHromycin 250mg TAB,Withdrawal,2
ZA0Q6TR5UGXN,1,2020-01-12,AZITHromycin 250mg TAB,Withdrawal,1
FBP6H3Z1I6Q4,1,2020-01-14,AZITHromycin 250mg TAB,Withdrawal,0
I50J1FWGUMLW,1,2020-01-16,AZITHromycin 250mg TAB,Refill,10
1FIKMSSM6SA3,1,2020-01-18,AZITHromycin 250mg TAB,Withdrawal,9
6F3F10028Y15,1,2020-01-20,AZITHromycin 250mg TAB,Withdrawal,8
U3KZ5TOVF1SN,1,2020-01-22,AZITHromycin 250mg TAB,Withdrawal,5
XSEI3JMEZOTS,1,2020-01-23,AZITHromycin 250mg TAB,Withdrawal,2
9A9KB7HU1SDM,1,2020-01-25,AZITHromycin 250mg TAB,Withdrawal,0
VX2EWE277ZBE,1,2020-01-27,AZITHromycin 250mg TAB,Refill,10
19IS0P61KYGL,1,2020-01-29,AZITHromycin 250mg TAB,Withdrawal,9
ACNGTLNSI0Z9,1,2020-01-31,AZITHromycin 250mg TAB,Withdrawal,7
7IOVLWMPDPU6,1,2020-02-02,AZITHromycin 250mg TAB,Withdrawal,4
RBKIF74O0GK2,1,2020-02-04,AZITHromycin 250mg TAB,Withdrawal,3
3OSW3H69RYH1,1,2020-02-06,AZITHromycin 250mg TAB,Withdrawal,2
93FZ71MPP4LY,1,2020-02-07,AZITHromycin 250mg TAB,Withdrawal,1
MO9HA4079QUK,1,2020-02-09,AZITHromycin 250mg TAB,Withdrawal,0
B69JVKDV9WW7,1,2020-02-11,AZITHromycin 250mg TAB,Refill,10
82UVQOX7NA33,1,2020-02-13,AZITHromycin 250mg TAB,Withdrawal,8
SQCTH1KZ7BJ7,1,2020-02-15,AZITHromycin 250mg TAB,Withdrawal,5
541UA4OJBCFF,1,2020-02-17,AZITHromycin 250mg TAB,Withdrawal,4
VQA9YLEM7D32,1,2020-02-19,AZITHromycin 250mg TAB,Withdrawal,3
HENM9R2QAHU4,1,2020-02-21,AZITHromycin 250mg TAB,Withdrawal,0
EINR5T878A42,1,2020-02-22,AZITHromycin 250mg TAB,Refill,10
2VMWQU9HF2XL,1,2020-02-24,AZITHromycin 250mg TAB,Withdrawal,9
5FHBV36FSW05,1,2020-02-26,AZITHromycin 250mg TAB,Withdrawal,7
SZ5S9EDKH21J,1,2020-02-28,AZITHromycin 250mg TAB,Withdrawal,6
XW2CM133PQGV,1,2020-03-01,AZITHromycin 250mg TAB,Withdrawal,5
CAEWTVRIIZWO,1,2020-03-03,AZITHromycin 250mg TAB,Withdrawal,4
VKW6X84XLY35,1,2020-03-05,AZITHromycin 250mg TAB,Withdrawal,3
RCUX12BNX6BJ,1,2020-03-07,AZITHromycin 250mg TAB,Withdrawal,0
E7NX9YM7UCEX,1,2020-03-08,AZITHromycin 250mg TAB,Refill,10
M2UNVDESPM5W,1,2020-03-10,AZITHromycin 250mg TAB,Withdrawal,9
KGWNEEUSSG0O,1,2020-03-12,AZITHromycin 250mg TAB,Withdrawal,8
43YZCED9M1GW,1,2020-03-14,AZITHromycin 250mg TAB,Withdrawal,7
4GETH3OCEXGI,1,2020-03-16,AZITHromycin 250mg TAB,Withdrawal,6
I6BN4CQC16KG,1,2020-03-18,AZITHromycin 250mg TAB,Withdrawal,3
BH09IJNCHDR1,1,2020-03-20,AZITHromycin 250mg TAB,Withdrawal,0
J0UBZKKSO259,1,2020-03-21,AZITHromycin 250mg TAB,Refill,10
TAZB7CABEWFE,1,2020-03-23,AZITHromycin 250mg TAB,Withdrawal,9
ROTAPWTDZ03B,1,2020-03-25,AZITHromycin 250mg TAB,Withdrawal,6
LX3ZAH8P1ZZQ,1,2020-03-27,AZITHromycin 250mg TAB,Withdrawal,4
NGWVK0I8I7QZ,1,2020-03-29,AZITHromycin 250mg TAB,Withdrawal,2
M8JZ9864N7N6,1,2020-03-31,AZITHromycin 250mg TAB,Withdrawal,1
H31E0JPEF3MW,1,2020-04-02,AZITHromycin 250mg TAB,Withdrawal,0
DZ3EE9XCQ430,1,2020-04-04,AZITHromycin 250mg TAB,Refill,10
B6NYQELSQ28I,1,2020-04-05,AZITHromycin 250mg TAB,Withdrawal,7
WFVSPA830GV1,1,2020-04-07,AZITHromycin 250mg TAB,Withdrawal,4
U0UFGMJ4JO7X,1,2020-04-09,AZITHromycin 250mg TAB,Withdrawal,3
2JSZ1PFBWMTR,1,2020-04-11,AZITHromycin 250mg TAB,Withdrawal,1
N96RXWXFN8YY,1,2020-04-13,AZITHromycin 250mg TAB,Withdrawal,0
UFLZOHBTWFIR,1,2020-04-15,AZITHromycin 250mg TAB,Refill,10
TH87HQ8B8OMM,1,2020-04-17,AZITHromycin 250mg TAB,Withdrawal,7
FCO5DUQP8DTO,1,2020-04-19,AZITHromycin 250mg TAB,Withdrawal,4
2GTUAZMSYTZC,1,2020-04-20,AZITHromycin 250mg TAB,Withdrawal,2
7EQCAMIWCS9Q,1,2020-04-22,AZITHromycin 250mg TAB,Withdrawal,0
6LHPQVH19YYN,1,2020-04-24,AZITHromycin 250mg TAB,Refill,10
Y8NTK7COUKHU,1,2020-04-26,AZITHromycin 250mg TAB,Withdrawal,9
NUZIPFAEVZ8T,1,2020-04-28,AZITHromycin 250mg TAB,Withdrawal,7
5RPOAXX6UCMP,1,2020-04-30,AZITHromycin 250mg TAB,Withdrawal,6
2A6LXMM92CYC,1,2020-05-02,AZITHromycin 250mg TAB,Withdrawal,5
G96UUFXLMGVR,1,2020-05-04,AZITHromycin 250mg TAB,Withdrawal,4
L17HL7GXXKNP,1,2020-05-05,AZITHromycin 250mg TAB,Withdrawal,3
1EATUWE8KULV,1,2020-05-07,AZITHromycin 250mg TAB,Withdrawal,1
OWU5S6OVCKA8,1,2020-05-09,AZITHromycin 250mg TAB,Withdrawal,0
JW0MSOM8RACG,1,2020-05-11,AZITHromycin 250mg TAB,Refill,10
EHVRAZGWYLCK,1,2020-05-13,AZITHromycin 250mg TAB,Withdrawal,9
QYDG2DT2D46J,1,2020-05-15,AZITHromycin 250mg TAB,Withdrawal,6
3IA1IOXPNWS9,1,2020-05-17,AZITHromycin 250mg TAB,Withdrawal,3
FDKRKZI1ZSEH,1,2020-05-19,AZITHromycin 250mg TAB,Withdrawal,0
0PRISI5H764H,1,2020-05-20,AZITHromycin 250mg TAB,Refill,10
PWZR0ONQHDFQ,1,2020-05-22,AZITHromycin 250mg TAB,Withdrawal,8
WKDLIWHZTBXC,1,2020-05-24,AZITHromycin 250mg TAB,Withdrawal,6
S6GXJ7MV6HUZ,1,2020-05-26,AZITHromycin 250mg TAB,Withdrawal,3
2RVZ9DWVFF3R,1,2020-05-28,AZITHromycin 250mg TAB,Withdrawal,1
SJECTA3KSFTX,1,2020-05-30,AZITHromycin 250mg TAB,Withdrawal,0
QFH013FP4HEA,1,2020-06-01,AZITHromycin 250mg TAB,Refill,10
KPNLYJMTOHZT,1,2020-06-02,AZITHromycin 250mg TAB,Withdrawal,8
8AALLJN36T9S,1,2020-06-04,AZITHromycin 250mg TAB,Withdrawal,6
VDJHIGZDR4DQ,1,2020-06-06,AZITHromycin 250mg TAB,Withdrawal,3
C7DRHQNXMY1S,1,2020-06-08,AZITHromycin 250mg TAB,Withdrawal,1
AE2CQCMAKKJ9,1,2020-06-10,AZITHromycin 250mg TAB,Withdrawal,0
LKFPZJT27V22,1,2020-06-12,AZITHromycin 250mg TAB,Refill,10
G1JO6U6Y1S0C,1,2020-06-14,AZITHromycin 250mg TAB,Withdrawal,8
WUKRUFY9BV20,1,2020-06-16,AZITHromycin 250mg TAB,Withdrawal,7
3PD8TLB55AJF,1,2020-06-17,AZITHromycin 250mg TAB,Withdrawal,6
TXFYVQVDDXU5,1,2020-06-19,AZITHromycin 250mg TAB,Withdrawal,5
SUU528JA28OL,1,2020-06-21,AZITHromycin 250mg TAB,Withdrawal,3
KGCEK3OQY2YS,1,2020-06-23,AZITHromycin 250mg TAB,Withdrawal,2
BF25UIV3T7YK,1,2020-06-25,AZITHromycin 250mg TAB,Withdrawal,1
O3TLJ2F9UK5A,1,2020-06-27,AZITHromycin 250mg TAB,Withdrawal,0
YSXOFIGPLRQ5,1,2020-06-29,AZITHromycin 250mg TAB,Refill,10
HOACD0CLOVBX,1,2020-07-01,AZITHromycin 250mg TAB,Withdrawal,9
VKBVARAEBLRC,1,2020-07-02,AZITHromycin 250mg TAB,Withdrawal,7
D56ENIXFXLVO,1,2020-07-04,AZITHromycin 250mg TAB,Withdrawal,4
7XCIQY7J5B2R,1,2020-07-06,AZITHromycin 250mg TAB,Withdrawal,3
MFKB7V5B0D2W,1,2020-07-08,AZITHromycin 250mg TAB,Withdrawal,0
6AN0BP8YQIXP,1,2020-07-10,AZITHromycin 250mg TAB,Refill,10
X4AMGT85QGUU,1,2020-07-12,AZITHromycin 250mg TAB,Withdrawal,8
XDP40QPEHFH6,1,2020-07-14,AZITHromycin 250mg TAB,Withdrawal,5
V7SKK3AWB7O0,1,2020-07-16,AZITHromycin 250mg TAB,Withdrawal,2
L8CN0I184EC0,1,2020-07-17,AZITHromycin 250mg TAB,Withdrawal,1
1554WI0D9AJ7,1,2020-07-19,AZITHromycin 250mg TAB,Withdrawal,0
VTIKO5NTLSSY,1,2020-07-21,AZITHromycin 250mg TAB,Refill,10
N2RE6BMGINKP,1,2020-07-23,AZITHromycin 250mg TAB,Withdrawal,8
SP2Z6SV9OV0O,1,2020-07-25,AZITHromycin 250mg TAB,Withdrawal,5
BG7S5ERYE7TH,1,2020-07-27,AZITHromycin 250mg TAB,Withdrawal,4
PVCJIKCABIIB,1,2020-07-29,AZITHromycin 250mg TAB,Withdrawal,2
QMBT9TKS2PMW,1,2020-07-31,AZITHromycin 250mg TAB,Withdrawal,0
4J8FX7MT89QI,1,2020-08-01,AZITHromycin 250mg TAB,Refill,10
WVBWWOV0UHDH,1,2020-08-03,AZITHromycin 250mg TAB,Withdrawal,9
C5TXX08ZZFFW,1,2020-08-05,AZITHromycin 250mg TAB,Withdrawal,8
X31BQOP6Q9U2,1,2020-08-07,AZITHromycin 250mg TAB,Withdrawal,6
AFM2D36HIPRA,1,2020-08-09,AZITHromycin 250mg TAB,Withdrawal,3
9JAT9UL5C06C,1,2020-08-11,AZITHromycin 250mg TAB,Withdrawal,1
BQ34X69Q7UOJ,1,2020-08-13,AZITHromycin 250mg TAB,Withdrawal,0
97WSVP4EL8K3,1,2020-08-14,AZITHromycin 250mg TAB,Refill,10
DQ8UJCOLOQMG,1,2020-08-16,AZITHromycin 250mg TAB,Withdrawal,9
75LOY4AZXG0F,1,2020-08-18,AZITHromycin 250mg TAB,Withdrawal,6
F3BFFW1D1J3X,1,2020-08-20,AZITHromycin 250mg TAB,Withdrawal,5
TBFEIHJO6AKS,1,2020-08-22,AZITHromycin 250mg TAB,Withdrawal,4
4L49171S7I2W,1,2020-08-24,AZITHromycin 250mg TAB,Withdrawal,1
SY4CWDT5KCME,1,2020-08-26,AZITHromycin 250mg TAB,Withdrawal,0
42J8PF7YHQSA,1,2020-08-28,AZITHromycin 250mg TAB,Refill,10
LW999GXWS3JE,1,2020-08-29,AZITHromycin 250mg TAB,Withdrawal,8
