TransactionID,Machine,Day,Medication,Type,AmtRemaining
BPZEA1JH25YE,1,2020-09-29,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
QQG6M6OOKJV8,1,2020-10-01,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
IW4OOJ83ATP0,1,2020-10-04,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
QJSTN4NUQMME,1,2020-10-07,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
BT9FSRTGFHXF,1,2020-10-09,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
46YBJ8SSJT1A,1,2020-10-12,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
2U274EA0EFUO,1,2020-10-14,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
HT337P4D64P2,1,2020-10-17,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
F0HB2JX44YNJ,1,2020-10-20,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
RHSFFOS0M9H8,1,2020-10-22,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
PI32NU33HOH3,1,2020-10-25,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
TS96ZK1WFJKN,1,2020-10-27,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
MFIS7TY4W74S,1,2020-10-30,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
581VIAK708FW,1,2020-11-01,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
86JOPKPNMR30,1,2020-11-04,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
1GLWXAU5YZRX,1,2020-11-07,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
OHSNKXP6JP7X,1,2020-11-09,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
FFLHW55J1AB7,1,2020-11-12,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
NOGBUO2VIKXU,1,2020-11-14,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
E19KJTM5MFY7,1,2020-11-17,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
0GJZIKGU12S3,1,2020-11-20,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
4HKV8BMIKJO3,1,2020-11-22,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
GNRC7M9F9QM6,1,2020-11-25,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
0G8KLMAF7Q3T,1,2020-11-27,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
QRK7JDJJLTEC,1,2020-11-30,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
BAOHBD6IOUTV,1,2020-12-03,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
HBD3WYXUNMOW,1,2020-12-05,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
HR10XZGZVSD0,1,2020-12-08,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
9MHQ57VRSI3K,1,2020-12-10,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
O34SPX72X3AH,1,2020-12-13,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
ETDMBB96S9AV,1,2020-12-15,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
SYVXVIQTV2PS,1,2020-12-18,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
22NMZW4Q3FHS,1,2020-12-21,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
0CP4HPW4TRJH,1,2020-12-23,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
371WSL79OOHB,1,2020-12-26,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
MTTKMJI52QQB,1,2020-12-28,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
KFT9ZF9HO4S6,1,2020-12-31,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
NUYBZ3HF8YQE,1,2020-01-04,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
VTGBKZ3EQKF6,1,2020-01-06,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,7
JQQQJ3GIWTU1,1,2020-01-09,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
Z8V4GXLJBAMX,1,2020-01-11,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
JGJJRI8STMVR,1,2020-01-14,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
7I3E1U68ENG6,1,2020-01-17,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
VI3GNYN8IWML,1,2020-01-19,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
NQ1ASI89E2BX,1,2020-01-22,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,7
CHJ1S9TI3V15,1,2020-01-24,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
QX3Z30JKMKYP,1,2020-01-27,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
QT2MKVBSPPUB,1,2020-01-29,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
W6CZVBIIMRRM,1,2020-02-01,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
ZUDGDVPLL6S0,1,2020-02-04,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
2916OL2IEKVJ,1,2020-02-06,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
X0Y2IFFTA96Q,1,2020-02-09,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,7
IPBWHKVUTM6M,1,2020-02-11,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
YKO8Y52HCK1S,1,2020-02-14,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
F5RH00DAG0V1,1,2020-02-17,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
ILPV84YGPW5Y,1,2020-02-19,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
JLDCEACP9LDR,1,2020-02-22,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
S2MYU8C3VKDZ,1,2020-02-24,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
32FM0WSVAB5U,1,2020-02-27,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,3
X102QHWVJADU,1,2020-03-01,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
H5C20Z6YEHLQ,1,2020-03-03,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
MB5D36LL18FN,1,2020-03-06,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
3CFAK8PD3HAZ,1,2020-03-08,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
A40B4BXARBJP,1,2020-03-11,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
YWLIN5F497BP,1,2020-03-13,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
EKQAE8XVNY11,1,2020-03-16,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
JL5RF0MEHPH2,1,2020-03-19,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
6I0JUHZSTCTP,1,2020-03-21,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
RZU3B9N4XM3V,1,2020-03-24,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
605RDNQ2NQSC,1,2020-03-26,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
ZUHAWP9OLUTA,1,2020-03-29,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
53AR9C6AFII2,1,2020-04-01,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
FJN9E041WJWQ,1,2020-04-03,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,3
FSPPA0HWF6CV,1,2020-04-06,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
R98G8LGJGCPO,1,2020-04-08,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
VJ0QN403X50M,1,2020-04-11,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
L0CZNVHBVJ66,1,2020-04-14,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
POZVNT8VNKOQ,1,2020-04-16,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
OIE3CBPSB85E,1,2020-04-19,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
H5ZQ7PF2WMFU,1,2020-04-21,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
UB30CF601T07,1,2020-04-24,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
0I33AFECHVP8,1,2020-04-26,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
3A7DY63I9ELK,1,2020-04-29,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
SW1OGJW4RVQW,1,2020-05-02,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
W20ZKYHCQB7H,1,2020-05-04,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
W3BHP8CGGIKL,1,2020-05-07,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
2B7LJD7Q7RXV,1,2020-05-09,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
PN745JV15T88,1,2020-05-12,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
VR9SUEOGCQ9K,1,2020-05-15,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
BFN8L8B71HOV,1,2020-05-17,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
STT5X59TABAQ,1,2020-05-20,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
8SRS6YR6RB78,1,2020-05-22,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
6WJAULAJAXL8,1,2020-05-25,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
68JEQ5W1D1RN,1,2020-05-28,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
YSMDLPANVH8S,1,2020-05-30,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
DFXRVPJBF3LL,1,2020-06-02,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
6ZHHOPOKRXR1,1,2020-06-04,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
CVHYON9CGB9K,1,2020-06-07,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
9DM2ALGHO9QZ,1,2020-06-09,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
UMQ2AUGIIEJ6,1,2020-06-12,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
F3KWBFL973UX,1,2020-06-15,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
S8FZU8YXRA0T,1,2020-06-17,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
YSPVINFDFRLY,1,2020-06-20,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
CR3HHL0DL13D,1,2020-06-22,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
8E2BT43YTNKP,1,2020-06-25,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
EVLQUJL8L2LD,1,2020-06-28,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
L5Y025VOG8T7,1,2020-06-30,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
OWM3CDODOW27,1,2020-07-03,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
V1XG1E2T11XB,1,2020-07-05,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
R3KT8UOJ99F3,1,2020-07-08,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
DD6F8EWAHDPZ,1,2020-07-11,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
BJM49U7ZBFQ5,1,2020-07-13,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
YWQ6RH7KEFUH,1,2020-07-16,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
AYCNVGV1W4AU,1,2020-07-18,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
TFIL8N1ZQ69K,1,2020-07-21,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
X6SLQT73V5W1,1,2020-07-24,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
46MNJD5T8RW1,1,2020-07-26,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,7
QXSK727PIDG1,1,2020-07-29,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,5
44OUBXBY5HT2,1,2020-07-31,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
SOCS6H2QC8GV,1,2020-08-03,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
QMSU9AFS7AC3,1,2020-08-05,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
6A6RQQ01UBAQ,1,2020-08-08,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
JMQLY9HAS3O2,1,2020-08-11,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
2RYJ7G6F4CDG,1,2020-08-13,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
UNUKBEILNFKR,1,2020-08-16,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,3
DNNCWKYW7LF2,1,2020-08-18,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,2
DXZOG7XGOPW6,1,2020-08-21,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
9ET4K4OWTK1K,1,2020-08-24,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
V523H48GVSBG,1,2020-08-26,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
0MS7GLMHJWE6,1,2020-08-29,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,9
HFZ4OJDK3B9L,1,2020-08-31,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
0UZ9F0FAT66C,1,2020-09-03,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
G3IU438ALANA,1,2020-09-06,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,3
QQYIH8DCYW2E,1,2020-09-08,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
SDR9LWWACT13,1,2020-09-11,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
050EVP4G5UC3,1,2020-09-13,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
V05ZDYNCGHKB,1,2020-09-16,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,8
9NJE91DD67RX,1,2020-09-18,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,6
CAQ9PXYXMYN0,1,2020-09-21,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
4815UGOKP5PE,1,2020-09-24,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,1
F9YQBF11MJLE,1,2020-09-26,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,0
DOSVAZDTG2A6,1,2020-09-29,DOPamine in D5W 800mcg/1mL 250mL INJ,Refill,10
H4RD9WLC2WHG,1,2020-10-01,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,7
RA2V2WO5UPOC,1,2020-10-04,DOPamine in D5W 800mcg/1mL 250mL INJ,Withdrawal,4
